Record Id,Account Name,Website,Account Type
432169000000205005,Savills,savills.ie,Lapsed
432169000000214001,Sharp Group,https://sharpgroup.co/,Lapsed
432169000000324431,Dublin City Council,dublincity.ie,Active
432169000000795017,Liffey Meats,http://www.liffeymeats.ie/,Lapsed
432169000001519001,Dublin City Public Libraries,http://www.dublincitypubliclibraries.ie/,Lapsed
432169000002182002,Ardmac,www.ardmac.com,Lapsed
432169000002188017,Woodfield Brady Architects,https://woodfieldbrady.co.uk/,Lapsed
432169000002300019,John Paul Construction,https://www.johnpaul.ie,Active
432169000002312001,Duggan Brothers (Contractors) Ltd,www.dugganbrothers.ie,Active
432169000002418003,Central Bank,www.centralbank.ie,Lapsed
432169000002838067,PM Group,www.pmgroup-global.com,Active
432169000002928011,Clancourt Group,,Lapsed
432169000002929069,Hines,https://www.hines.com/locations/ireland,Lapsed
432169000003108027,Interactive Project Managers Ltd,http://ipml.ie,Active
432169000003164029,Thomas O'Brien Construction,,Forget it / Junk / Avoid
432169000003173045,Cluid Housing,https://www.cluid.ie/,Lapsed
432169000003212029,Trinity College Dublin,https://www.tcd.ie,Lapsed
432169000003470017,Cumnor Construction,http://www.cumnor.ie/,Active
432169000003505001,Irish Life,www.irishlife.ie,Lapsed
432169000003514023,Sammon Builders,http://sammonbuilders.com/,Forget it / Junk / Avoid
432169000003614025,PJ Hegarty & Sons,http://www.pjhegarty.ie/,Active
432169000003706049,Glanua Ireland,https://glanua.com/,Active
432169000003710013,Clifton Scannell Emerson Associates CSEA,http://www.csea.ie,Lapsed
432169000003741001,Abbott Ireland Diabetes Care (Donegal),www.abbott.ie,Lapsed
432169000003772003,Collen Construction,www.collen.com,Active
432169000003823001,Cuddy Group,http://www.cuddy-group.com,Forget it / Junk / Avoid
432169000003835003,Capami Construction / Maplewood Homes,http://www.capami.ie/,Lapsed
432169000004038001,Jacobs Engineering Ireland,http://www.jacobs.com/,Lapsed
432169000004119002,Carrowmore Property,www.carrowmoreproperty.com,Lapsed
432169000004242047,John Spain Associates,http://jsaplanning.ie/,Forget it / Junk / Avoid
432169000004248001,Wexford County Council,https://www.wexfordcoco.ie/,Lapsed
432169000004267009,Kilcawley Construction,http://www.kilcawleyconstruction.com,Lapsed
432169000004334060,McAleer & Rushe,http://www.mcaleer-rushe.co.uk,Lapsed
432169000004334064,Pfizer,https://www.pfizer.com/,Active
432169000004428027,Ardstone Capital Ltd,www.ardstone.com,Active
432169000004537011,Edgewater Contracts,www.edgewatercontracts.co.uk,Lapsed
432169000004542001,Walls Construction Limited,http://www.wallsconstruction.ie/,Active
432169000004607001,Re Project Partners,https://reprojectpartners.ie/,Lapsed
432169000004618007,Activate Capital,http://www.activatecapital.ie/,Lapsed
432169000004643017,Roadstone,https://www.roadstone.ie/,Active
432169000004643033,Astellas Pharma,http://www.astellas.ie/,Active
432169000004650001,Wilson James,http://www.wilsonjames.co.uk/,Lapsed
432169000004663001,Tetrarch Capital,https://www.tetrarch.ie/,Lapsed
432169000004683001,ADCO Contracting & Civil Engineering,https://adco.ie/,Lapsed
432169000004776007,Kennedy Wilson,http://www.kennedywilson.eu/,Lapsed
432169000004813025,Takeda Ireland Ltd,www.takeda.ie,Lapsed
432169000004908035,FORRME Construction,http://www.forrme.co.uk/,Lapsed
432169000005107003,Colorman Ireland,http://www.colorman.ie,Lapsed
432169000005161011,Kelbuild,www.kelbuild.com/,Active
432169000005183017,Carillion,https://www.carillionplc.com/,Forget it / Junk / Avoid
432169000005210001,WK Nowlan Real Estate Advisors,https://www.wkn.ie/,Lapsed
432169000005265001,Castlepark Building Company Ltd,http://castlepark.ie/,Lapsed
432169000005455011,Kreo Construction,http://kreoconstruction.com/,Forget it / Junk / Avoid
432169000005610003,B. Doyle Construction,,Forget it / Junk / Avoid
432169000005706001,Royal College of Surgeons in Ireland (RCSI),https://www.rcsi.com,Active
432169000005745003,Pat Redmond Construction,https://redmondconstruction.ie/,Forget it / Junk / Avoid
432169000005754023,Nelabuild,www.nelabuild.com,Lapsed
432169000005999117,Water Technology LTD,https://www.wtlireland.com,Lapsed
432169000006066055,Conneely Builders,http://www.conneelybuilders.com/,Lapsed
432169000006072007,IAA (Irish Aviation Authority),https://www.iaa.ie/,Lapsed
432169000006220035,Purcell Construction,https://purcell.ie/,Active
432169000006251011,Stewart Construction,http://www.stewart.ie,Active
432169000006255009,Burlington Engineering,http://www.burlingtonengineering.ie/,Lapsed
432169000006347011,Virtus PM,www.http://virtuspm.ie,Active
432169000006349361,John Curran & Sons,http://www.curranconstruction.ie/commercial,Forget it / Junk / Avoid
432169000006349677,JJ Duffy Demolition,http://www.jjduffy.ie/,Active
432169000006349853,Saorgus Energy,http://www.saorgus.com/index.html,Forget it / Junk / Avoid
432169000006349993,Michael Bennett Group,http://www.bennett.ie/,Forget it / Junk / Avoid
432169000006350001,Triconbuild,https://triconbuild.ie/,Forget it / Junk / Avoid
432169000006356009,Shay Murtagh Precast Ltd.,https://www.shaymurtagh.ie/,Lapsed
432169000006356025,Gravity Construction Ltd,http://gravityconstruction.ie/,Lapsed
432169000006356281,Murphy Group,http://www.murphygroup.ie/,Lapsed
432169000006356537,Element Power Ire Ltd,http://www.elpower.com/,Forget it / Junk / Avoid
432169000006356729,Bridgedale Homes Ltd,http://bridgedale.ie/,Lapsed
432169000006356777,O'Hare & McGovern (Ireland) Ltd,www.ohmg.com,Lapsed
432169000006361011,Amgen,https://www.amgen.com,Active
432169000006412281,Gilbert-Ash,gilbert-ash.com,Active
432169000006528007,Rhatigan OHL Ltd (JJ Rhatigan OHL),http://www.jjrhatigan.com/,Lapsed
432169000006660139,RPS Group (Ireland) Ltd,http://www.rpsgroup.com,Lapsed
432169000006663009,ESB International,https://www.esbinternational.ie/,Lapsed
432169000006755012,Moston Construction Ltd,http://moston.ie,Active
432169000007268024,Sunningdale House Developments,www.sunningdalehousedevelopments.co.uk,Lapsed
432169000007569111,Focus Ireland,https://www.focusireland.ie/,Active
432169000007693146,Grant Thornton Ireland,https://www.grantthornton.ie/,Active
432169000007812001,Bartra Capital Property Group,http://bartracapitalproperty.com,Lapsed
432169000007898042,Killeen Civil Engineering,www.killeencivilengineering.ie,Lapsed
432169000007964001,Tristan Capital,https://www.tristancap.com/,Lapsed
432169000007992005,Bowmer & Kirkland,https://www.bandk.co.uk/,Active
432169000112942111,Turner Construction,tcco.com,Lapsed
432169000058933001,Kiewit Corporation,https://www.kiewit.com/about-us/,Lapsed
432169000556022413,Consigli Building Group,,Lapsed
432169000067706045,The Whiting-Turner Contracting Company,www.whiting-turner.com,Active
432169000556022456,J.T. Magen,,Active
432169000560530131,Abel Security Inc,,Active
432169000044976001,Walsh Contracting Ltd,https://www.swalsh.com/,Lapsed
432169000002139005,Lensmen,lensmen.ie,Lapsed
432169000006978014,Channor,www.channor.com,Lapsed
432169000005038012,Dundrum Shopping Centre,dundrum.ie,Lapsed
432169000004770001,One South County,http://www.onesouthcounty.com/,Lapsed
432169000003470051,Henderson Park,www.greenreitplc.com,Lapsed
432169000004576001,Tifco Hotels Limited,http://www.tifcohotels.ie/,Forget it / Junk / Avoid
432169000005973007,Servier,http://www.servier.ie,Forget it / Junk / Avoid
432169000004823035,Shire Pharmaceutical Ltd,,Forget it / Junk / Avoid
432169000000296047,Valero Marketing Ireland Limited,,Forget it / Junk / Avoid
432169000006935014,360 Productions,http://360production.com/,Lapsed
432169000007521268,Carrig,http://www.carrig.ie,Lapsed
432169000007547004,Minerex Environmental,,Lapsed
432169000005955013,Bulgari,http://www.bulgari.com,Lapsed
432169000006906006,St Patricks Cathedral,https://www.stpatrickscathedral.ie/,Lapsed
432169000006480002,General Electronic Alarms,https://generalelectronicalarms.ie/,Lapsed
432169000006361019,Avolon,http://avolon.aero/,Lapsed
432169000006755007,Scott + MacNeill,http://www.smn.ie,Lapsed
432169000007735195,Pegasus Life,https://lifestory.group/pegasus/,Lapsed
432169000008121001,Velux Modular Skylights,https://www.velux.ie/professional/products/rooflights-roof-glazing,Lapsed
432169000008151080,Cork RDO,http://www.corkrdo.ie,Lapsed
432169000000115001,Alphasights,https://www.alphasights.com/contact/london,Forget it / Junk / Avoid
432169000000149009,Psychotron,http://psychotron.co.uk/,Forget it / Junk / Avoid
432169000000117001,Leon Blaq,,Forget it / Junk / Avoid
432169000000155001,Mauricio Baum,,Forget it / Junk / Avoid
432169000000209005,Sven Hemmingsson,,Forget it / Junk / Avoid
432169000000375026,Andy Zhang,,Forget it / Junk / Avoid
432169000001843153,Paul Daly,,Forget it / Junk / Avoid
432169000000254001,Timothy Carswell,,Forget it / Junk / Avoid
432169000000255003,Thomas Young,,Forget it / Junk / Avoid
